Symbol,Date,High,Low,Open,Close,Volume,Adj Close,Return,EqW VaR,ExpW_mc VaR
SP500,2022-06-24,3886.510009765625,3821.75,3821.75,3885.050048828125,805965859.0,3885.050048828125,0.023531723494289336,-0.018969454344563434,-0.035044503248763126
SP500,2022-06-23,3802.580078125,3743.52001953125,3774.7099609375,3795.72998046875,4078100000.0,3795.72998046875,0.009532217409177868,-0.018969454344563434,-0.03567562542448564
SP500,2022-06-22,3801.7900390625,3717.68994140625,3733.889892578125,3759.889892578125,4342270000.0,3759.889892578125,-0.0013015723144006452,-0.018969454344563434,-0.03573620882618063
SP500,2022-06-21,3779.64990234375,3715.31005859375,3715.31005859375,3764.7900390625,4124600000.0,3764.7900390625,0.024477242280086964,-0.019311475173124593,-0.03579558055984172
SP500,2022-06-17,3707.7099609375,3636.8701171875,3665.89990234375,3674.840087890625,6954110000.0,3674.840087890625,0.002200865698254617,-0.019311475173124593,-0.0358537648588296
SP500,2022-06-16,3728.179931640625,3639.77001953125,3728.179931640625,3666.77001953125,4511200000.0,3666.77001953125,-0.03251195148816344,-0.01939275779068718,-0.035910785471837715
SP500,2022-06-15,3837.56005859375,3722.300048828125,3764.050048828125,3789.989990234375,4474610000.0,3789.989990234375,0.014592504858983224,-0.019311475173124593,-0.03596666567258566
SP500,2022-06-14,3778.179931640625,3705.679931640625,3763.52001953125,3735.47998046875,4126400000.0,3735.47998046875,-0.0037736797459957394,-0.019311475173124593,-0.03602142826931866
SP500,2022-06-13,3838.14990234375,3734.300048828125,3838.14990234375,3749.6298828125,4572820000.0,3749.6298828125,-0.038768430665237275,-0.019311475173124593,-0.036075095614116995
SP500,2022-06-10,3974.389892578125,3900.159912109375,3974.389892578125,3900.860107421875,3936120000.0,3900.860107421875,-0.029110303335524668,-0.018969454344563434,-0.03234541127364373
SP500,2022-06-09,4119.10009765625,4017.169921875,4101.64990234375,4017.820068359375,3192330000.0,4017.820068359375,-0.02379869397635359,-0.01896131033450521,-0.0325862688478707
SP500,2022-06-08,4160.14013671875,4107.2001953125,4147.1201171875,4115.77001953125,3090180000.0,4115.77001953125,-0.010793945785935621,-0.018914821867908604,-0.03282230927061314
SP500,2022-06-07,4164.85986328125,4080.18994140625,4096.47021484375,4160.68017578125,3476470000.0,4160.68017578125,0.009523393173235029,-0.018914821867908604,-0.03305362888490072
SP500,2022-06-06,4168.77978515625,4109.18017578125,4134.72021484375,4121.43017578125,3852050000.0,4121.43017578125,0.003137400778913113,-0.018914821867908604,-0.03328032210690255
SP500,2022-06-03,4142.669921875,4098.669921875,4137.56982421875,4108.5400390625,3107080000.0,4108.5400390625,-0.016347313992415624,-0.01896131033450521,-0.033502667469282446
SP500,2022-06-02,4177.509765625,4074.3701171875,4095.409912109375,4176.81982421875,3604930000.0,4176.81982421875,0.018431018038486124,-0.01896131033450521,-0.033720383639693007
SP500,2022-06-01,4166.5400390625,4073.85009765625,4149.77978515625,4101.22998046875,4145710000.0,4101.22998046875,-0.007482768681131846,-0.01896131033450521,-0.03393374548669535
SP500,2022-05-31,4168.33984375,4104.8798828125,4151.08984375,4132.14990234375,5192220000.0,4132.14990234375,-0.006274368617659065,-0.01896131033450521,-0.03414284009675766
SP500,2022-05-27,4158.490234375,4077.429931640625,4077.429931640625,4158.240234375,3560560000.0,4158.240234375,0.02474226295510973,-0.01896131033450521,-0.034347752814618715
SP500,2022-05-26,4075.139892578125,3984.60009765625,3984.60009765625,4057.840087890625,3961940000.0,4057.840087890625,0.019883256167224195,-0.01896131033450521,-0.03454856727812255
SP500,2022-05-25,3999.330078125,3925.030029296875,3929.590087890625,3978.72998046875,4322190000.0,3978.72998046875,0.009450764734207695,-0.01896131033450521,-0.034745365452356305
SP500,2022-05-24,3955.679931640625,3875.1298828125,3942.93994140625,3941.47998046875,3901640000.0,3941.47998046875,-0.008120797617175213,-0.01896131033450521,-0.034938227663105385
SP500,2022-05-23,3981.8798828125,3909.0400390625,3919.419921875,3973.75,3392770000.0,3973.75,0.018555039930923556,-0.01896131033450521,-0.03550066337911363
SP500,2022-05-20,3943.419921875,3810.320068359375,3927.760009765625,3901.360107421875,4278520000.0,3901.360107421875,0.00014614176965843662,-0.01896131033450521,-0.035689229290678436
SP500,2022-05-19,3945.9599609375,3876.580078125,3899.0,3900.7900390625,4212140000.0,3900.7900390625,-0.005833781800992588,-0.01896131033450521,-0.035728073592513725
SP500,2022-05-18,4051.97998046875,3911.909912109375,4051.97998046875,3923.679931640625,4428960000.0,3923.679931640625,-0.04039526078745259,-0.01896131033450521,-0.035766141008312304
SP500,2022-05-17,4090.719970703125,4033.929931640625,4052.0,4088.85009765625,3846580000.0,4088.85009765625,0.020169632234863677,-0.018914821867908604,-0.03228825478204261
SP500,2022-05-16,4046.4599609375,3983.989990234375,4013.02001953125,4008.010009765625,3824320000.0,4008.010009765625,-0.003946400929555671,-0.018914821867908604,-0.03245910030199127
SP500,2022-05-13,4038.8798828125,3963.89990234375,3963.89990234375,4023.889892578125,4142950000.0,4023.889892578125,0.02386969542307149,-0.018914821867908604,-0.03262652891154096
SP500,2022-05-12,3964.800048828125,3858.8701171875,3903.949951171875,3930.080078125,4964130000.0,3930.080078125,-0.0012959645058717717,-0.018914821867908604,-0.03279060894889965
SP500,2022-05-11,4049.090087890625,3928.820068359375,3990.080078125,3935.179931640625,4683220000.0,3935.179931640625,-0.01646320750393837,-0.018914821867908604,-0.032951407385511174
