Symbol,Date,High,Low,Open,Close,Volume,Adj Close,Return,EqW VaR,ExpW_mc VaR
BTC,2022-06-07,31489.68359375,29311.68359375,31371.7421875,31155.478515625,40770974039.0,31155.478515625,-0.006859698773187373,-0.06282381595309618,-0.06281239867525268
BTC,2022-06-06,31693.291015625,29894.1875,29910.283203125,31370.671875,31947336829.0,31370.671875,0.048952630028413324,-0.06282381595309618,-0.06281950367300308
BTC,2022-06-05,30117.744140625,29574.44921875,29835.1171875,29906.662109375,17264085441.0,29906.662109375,0.00247203631266113,-0.06282381595309618,-0.06366325698673823
BTC,2022-06-04,29930.564453125,29500.005859375,29706.138671875,29832.9140625,16588370958.0,29832.9140625,0.004326748833952898,-0.06363225953812458,-0.06374495687152532
BTC,2022-06-03,30633.03515625,29375.689453125,30467.806640625,29704.390625,26175547452.0,29704.390625,-0.02504629358369581,-0.06363225953812458,-0.06382495577884878
BTC,2022-06-02,30604.734375,29652.705078125,29794.890625,30467.48828125,29083562061.0,30467.48828125,0.02243049790035867,-0.06363225953812458,-0.06390335470802576
BTC,2022-06-01,31957.28515625,29501.587890625,31792.5546875,29799.080078125,41135817341.0,29799.080078125,-0.06269536357891181,-0.06363225953812458,-0.0639801856586192
BTC,2022-05-31,32249.86328125,31286.154296875,31723.865234375,31792.310546875,33538210634.0,31792.310546875,0.0020777630413166825,-0.06363225953812458,-0.06405547999020078
BTC,2022-05-30,31949.630859375,29303.572265625,29443.365234375,31726.390625,39277993274.0,31726.390625,0.07744470968730455,-0.06363225953812458,-0.06412926843515072
BTC,2022-05-29,29498.009765625,28841.107421875,29019.8671875,29445.95703125,18093886409.0,29445.95703125,0.02190035821988534,-0.06363225953812458,-0.06521406824302636
BTC,2022-05-28,28814.900390625,28554.56640625,28622.625,28814.900390625,35519577634.0,28814.900390625,0.006543557286537771,-0.06363225953812458,-0.06726040131967542
BTC,2022-05-27,29346.943359375,28326.61328125,29251.140625,28627.57421875,36582005748.0,28627.57421875,-0.02185551924250806,-0.06363225953812458,-0.06728401570549462
BTC,2022-05-26,29834.16015625,28261.90625,29564.77734375,29267.224609375,36774325352.0,29267.224609375,-0.009983529917456657,-0.06363225953812458,-0.06730715780359743
BTC,2022-05-25,30157.78515625,29384.94921875,29653.134765625,29562.361328125,27525063551.0,29562.361328125,-0.003143576713387941,-0.06418068028941805,-0.06732985604813894
BTC,2022-05-24,29774.35546875,28786.58984375,29101.125,29655.5859375,26616506245.0,29655.5859375,0.019130468401079792,-0.06418068028941805,-0.06735208171915688
BTC,2022-05-23,30590.5859375,28975.560546875,30309.396484375,29098.91015625,31483454557.0,29098.91015625,-0.04039123144227663,-0.06418068028941805,-0.06737386287675445
BTC,2022-05-22,30425.861328125,29275.18359375,29432.47265625,30323.72265625,21631532270.0,30323.72265625,0.030289794482822652,-0.06418068028941805,-0.06739520841120009
BTC,2022-05-21,29588.869140625,29027.39453125,29199.859375,29432.2265625,17274840442.0,29432.2265625,0.007927413013061102,-0.06418068028941805,-0.0674161270349568
BTC,2022-05-20,30664.9765625,28793.60546875,30311.119140625,29200.740234375,30749382605.0,29200.740234375,-0.036734890846488066,-0.06418068028941805,-0.06743662728623838
BTC,2022-05-19,30430.751953125,28708.955078125,28720.359375,30314.333984375,33773447707.0,30314.333984375,0.05550304428240649,-0.06418068028941805,-0.06745671753249433
BTC,2022-05-18,30618.716796875,28720.271484375,30424.478515625,28720.271484375,31285268319.0,28720.271484375,-0.05605711989808215,-0.06418068028941805,-0.06747640597382516
BTC,2022-05-17,30694.490234375,29570.302734375,29862.408203125,30425.857421875,29101473475.0,30425.857421875,0.018850785235190015,-0.06418068028941805,-0.06749570064632937
BTC,2022-05-16,31305.341796875,29251.884765625,31304.375,29862.91796875,32613897286.0,29862.91796875,-0.046069001557128786,-0.06418068028941805,-0.0675146094253835
BTC,2022-05-15,31308.19140625,29527.740234375,30098.5859375,31305.11328125,25835372065.0,31305.11328125,0.03999325713567892,-0.06418068028941805,-0.06753314002885655
BTC,2022-05-14,30192.802734375,28702.91015625,29285.642578125,30101.265625,28579868620.0,30101.265625,0.027939733537411415,-0.06418068028941805,-0.06755130002026014
BTC,2022-05-13,30924.802734375,28782.330078125,29030.91015625,29283.103515625,42841124537.0,29283.103515625,0.008102229834508146,-0.06418068028941805,-0.06756909681183565
BTC,2022-05-12,30032.439453125,26350.490234375,28936.734375,29047.751953125,66989173272.0,29047.751953125,0.003849706798608521,-0.06418068028941805,-0.06758653766757965
BTC,2022-05-11,32013.40234375,28170.4140625,31016.18359375,28936.35546875,70388855818.0,28936.35546875,-0.06725839173272163,-0.06418068028941805,-0.07788945445045378
BTC,2022-05-10,32596.30859375,29944.802734375,30273.654296875,31022.90625,59811038817.0,31022.90625,0.02396125848050934,-0.06363225953812458,-0.07793849262898471
BTC,2022-05-09,34222.07421875,30296.953125,34060.015625,30296.953125,63355494961.0,30296.953125,-0.11046369999353145,-0.06363225953812458,-0.07798655004394502
BTC,2022-05-08,35502.94140625,33878.96484375,35502.94140625,34059.265625,36763041910.0,34059.265625,-0.040636848764922684,-0.06282381595309618,-0.06138296372609601
BTC,2022-05-07,36129.92578125,34940.82421875,36042.50390625,35501.953125,24375896406.0,35501.953125,-0.014954355270636377,-0.06282381595309618,-0.061693688164292236
BTC,2022-05-06,36624.359375,35482.1328125,36573.18359375,36040.921875,37795577489.0,36040.921875,-0.014606061408683924,-0.06282381595309618,-0.061998198113724534
BTC,2022-05-05,39789.28125,35856.515625,39695.74609375,36575.140625,43106256317.0,36575.140625,-0.07867402068901796,-0.06282381595309618,-0.062296617864168194
BTC,2022-05-04,39902.94921875,37732.05859375,37748.01171875,39698.37109375,36754404490.0,39698.37109375,0.051599856624237495,-0.06255641898138342,-0.05787559667502758
BTC,2022-05-03,38629.99609375,37585.62109375,38528.109375,37750.453125,27326943244.0,37750.453125,-0.020215120218891713,-0.06255641898138342,-0.05787906329892445
BTC,2022-05-02,39074.97265625,38156.5625,38472.1875,38529.328125,32922642426.0,38529.328125,0.001565786170879102,-0.06255641898138342,-0.05788246059034338
BTC,2022-05-01,38627.859375,37585.7890625,37713.265625,38469.09375,27002760110.0,38469.09375,0.019997911964443782,-0.06255641898138342,-0.05788578993593394
BTC,2022-04-30,38771.2109375,37697.94140625,38605.859375,37714.875,23895713731.0,37714.875,-0.023179313474195662,-0.06255641898138342,-0.05788905269461268
BTC,2022-04-29,39887.26953125,38235.53515625,39768.6171875,38609.82421875,30882994649.0,38609.82421875,-0.02926557389929385,-0.06255641898138342,-0.057892250198117855
BTC,2022-04-28,40269.46484375,38941.421875,39241.4296875,39773.828125,33903704907.0,39773.828125,0.013575224570606004,-0.06255641898138342,-0.05789538375155292
BTC,2022-04-27,39397.91796875,37997.3125,38120.30078125,39241.12109375,30981015184.0,39241.12109375,0.029478882606909007,-0.06255641898138342,-0.05789845463391928
BTC,2022-04-26,40713.890625,37884.984375,40448.421875,38117.4609375,34569088416.0,38117.4609375,-0.057858267871623625,-0.06255641898138342,-0.05790146409863832
BTC,2022-04-25,40491.75390625,38338.37890625,39472.60546875,40458.30859375,35445730570.0,40458.30859375,0.025057850055308917,-0.06255641898138342,-0.05200291718787455
BTC,2022-04-24,39845.92578125,39233.5390625,39478.375,39469.29296875,17964398167.0,39469.29296875,-0.0004416040475622163,-0.06255641898138342,-0.05203777885962013
BTC,2022-04-23,39935.859375,39352.203125,39738.72265625,39486.73046875,16138021249.0,39486.73046875,-0.0063811726165236005,-0.06255641898138342,-0.05517518554094254
BTC,2022-04-22,40777.7578125,39315.41796875,40525.86328125,39740.3203125,28011716745.0,39740.3203125,-0.019420038833716236,-0.06255641898138342,-0.05644021527950001
BTC,2022-04-21,42893.58203125,40063.828125,41371.515625,40527.36328125,35372786395.0,40527.36328125,-0.020471984048854197,-0.06255641898138342,-0.05695437519713627
BTC,2022-04-20,42126.30078125,40961.09765625,41501.74609375,41374.37890625,27819532341.0,41374.37890625,-0.003093074404708074,-0.06255641898138342,-0.057848203127895806
BTC,2022-04-19,41672.9609375,40618.6328125,40828.17578125,41502.75,25303206547.0,41502.75,0.016571096753378534,-0.06255641898138342,-0.060265279280452944
BTC,2022-04-18,40986.3203125,38696.19140625,39721.203125,40826.21484375,33705182072.0,40826.21484375,0.027929174608607443,-0.06255641898138342,-0.060271948064294215
BTC,2022-04-17,40570.7265625,39620.89453125,40417.77734375,39716.953125,19087633042.0,39716.953125,-0.017502542356175654,-0.06255641898138342,-0.060785882283653725
BTC,2022-04-16,40633.6796875,40078.42578125,40552.31640625,40424.484375,16833150693.0,40424.484375,-0.0031805042860567623,-0.06255641898138342,-0.060989175553373465
BTC,2022-04-15,40617.72265625,39866.83203125,39939.40234375,40553.46484375,21756855753.0,40553.46484375,0.015473675726454417,-0.06255641898138342,-0.06118840295769882
BTC,2022-04-14,41451.48046875,39695.74609375,41160.21875,39935.515625,24342001973.0,39935.515625,-0.029908006531745968,-0.06255641898138342,-0.06138364581393766
BTC,2022-04-13,41430.0546875,39712.74609375,40123.5703125,41166.73046875,27691105228.0,41166.73046875,0.025906300465151855,-0.06255641898138342,-0.06157498381305173
BTC,2022-04-12,40617.5859375,39388.328125,39533.71484375,40127.18359375,30991500854.0,40127.18359375,0.015315083892861292,-0.06255641898138342,-0.061762495052183515
BTC,2022-04-11,42424.58984375,39373.05859375,42201.0390625,39521.90234375,33949912166.0,39521.90234375,-0.06363225953812457,-0.06255641898138342,-0.061946256066532666
BTC,2022-04-10,43376.37890625,42021.20703125,42781.08984375,42207.671875,17654475582.0,42207.671875,-0.013427680050824398,-0.060630954045771374,-0.05192240297479724
BTC,2022-04-09,42786.81640625,42183.25390625,42282.078125,42782.13671875,16050772496.0,42782.13671875,0.011693070951357853,-0.06255641898138342,-0.05194817228594155
