Date,Return,yhat,ar_resid,GARCH vol,GARCH VaR
2017-06-30,-0.0230297791906686,0.0,-0.0230297791906686,,
2017-07-01,-0.0186590176805224,-0.0004955295973367068,-0.018163488083185693,,
2017-07-02,0.0295413610041077,-0.0004014843321500089,0.02994284533625771,,
2017-07-03,0.0229765720570231,0.0006356386920581148,0.022340933364964982,,
2017-07-04,0.0146563782148634,0.0004943847444359252,0.014161993470427476,,
2017-07-05,0.000134568068874,0.0003153599144436648,-0.0001807918455696648,,
2017-07-06,0.0025250167694854,2.895488507789532e-06,0.0025221212809776105,,
2017-07-07,-0.0344635141476632,5.433054883819782e-05,-0.0345178446965014,,
2017-07-08,0.0209159543644503,-0.000741548199268846,0.021657502563719146,,
2017-07-09,-0.0205729871103013,0.00045004662694849264,-0.021023033737249792,,
2017-07-10,-0.0579247018815319,-0.00044266703273088977,-0.05748203484880101,,
2017-07-11,-0.0146550640121029,-0.0012463603737388228,-0.013408703638364076,,
2017-07-12,0.0261144276466365,-0.00031533163686621435,0.026429759283502715,,
2017-07-13,-0.0170666589046687,0.0005619016886475262,-0.017628560593316224,,
2017-07-14,-0.052826591293936,-0.00036722169782418465,-0.05245936959611182,,
2017-07-15,-0.1049907731520314,-0.0011366648067195346,-0.10385410834531186,,
2017-07-16,-0.0345397074174542,-0.002259076611779933,-0.03228063080567427,,
2017-07-17,0.1547242613977975,-0.0007431876427036575,0.15546744904050114,,
2017-07-18,0.0405984420601897,0.0033291874105217615,0.03726925464966794,,
2017-07-19,-0.0195999592340894,0.0008735528673559706,-0.020473512101445372,,
2017-07-20,0.2393608698654388,-0.00042173048324403923,0.23978260034868285,,
2017-07-21,-0.0531800407074324,0.005150305371171093,-0.0583303460786035,,
2017-07-22,0.0533631611916927,-0.0011442699445759902,0.05450743113626869,,
2017-07-23,-0.0283689705490375,0.0011482101308486565,-0.029517180679886155,,
2017-07-24,0.008958469804049,-0.0006104124766735691,0.00956888228072257,,
2017-07-25,-0.064751065388965,0.00019275855395748447,-0.06494382394292247,,
2017-07-26,-0.0182535977975341,-0.0013932425966253943,-0.016860355200908707,,
2017-07-27,0.0562691813922071,-0.00039276095057929516,0.056661942342786396,,
2017-07-28,0.0513627540306393,0.001210738694752418,0.05015201533588688,,
2017-07-29,-0.029391158560036,0.0011051675577167393,-0.03049632611775274,,
2017-07-30,0.011271059810044,-0.0006324068001665939,0.011903466610210595,,
2017-07-31,0.042855438955589,0.00024251833606342513,0.042612920619525575,,
2017-08-01,-0.0546300866414154,0.0009221164577190332,-0.05555220309913443,,
2017-08-02,-0.0027922597041331,-0.0011754704468403569,-0.001616789257292743,,
2017-08-03,0.0346999307568542,-6.008078998035833e-05,0.03476001154683456,,
2017-08-04,0.0325022061817656,0.0007466351532594251,0.03175557102850617,,
2017-08-05,0.1232850808472574,0.0006993469198493581,0.12258573392740804,,
2017-08-06,-0.011980033802367,0.002652713513406951,-0.014632747315773952,,
2017-08-07,0.0513388560483818,-0.0002577732629139771,0.05159662931129578,,
2017-08-08,0.0121339830571054,0.0011046533470755006,0.011029329710029899,,
2017-08-09,-0.0226524360165429,0.00026108577457894844,-0.022913521791121848,,
2017-08-10,0.0116111914045367,-0.00048741033967539027,0.01209860174421209,,
2017-08-11,0.0796562501647144,0.0002498369156583503,0.07940641324905606,,
2017-08-12,0.0641233095297646,0.0017139560584873744,0.06240935347127722,,
2017-08-13,0.0485364546450264,0.0013797352327223407,0.04715671941230406,,
2017-08-14,0.0618349608036359,0.0010443543391048468,0.060790606464531056,,
2017-08-15,-0.0331087645715119,0.0013304970479600664,-0.034439261619471966,,
2017-08-16,0.0465573787335837,-0.0007123981797917014,0.047269776913375396,,
2017-08-17,-0.0102681612586739,0.0010017707484687131,-0.011269932007142613,,
2017-08-18,-0.0394926290969047,-0.0002209390620627713,-0.03927169003484193,,
2017-08-19,0.0079507566644563,-0.000849759193613395,0.008800515858069695,,
2017-08-20,-0.0252856137216607,0.00017107568491392847,-0.025456689406574626,,
2017-08-21,-0.0210193420495841,-0.0005440681772139157,-0.020475273872370185,,
2017-08-22,0.0246842697271518,-0.00045227121006584554,0.025136540937217643,,
2017-08-23,0.0124374468987058,0.0005311291149244873,0.011906317783781314,,
2017-08-24,0.044118818020461,0.00026761537757642,0.04385120264288458,,
2017-08-25,0.0085173347000959,0.0009493004664807547,0.007568034233615145,,
2017-08-26,-0.0043920292075192,0.0001832666913293991,-0.004575295898848599,,
2017-08-27,0.0070030284791471,-9.450288023494765e-05,0.007097531359382047,,
2017-08-28,-5.01329190794042e-05,0.00015068350650167503,-0.00020081642558107923,,
2017-08-29,0.0448038077972408,-1.0787053144997886e-06,0.044804886502555305,,
2017-08-30,-0.0029963212183454,0.0009640393272165534,-0.003960360545561954,,
2017-08-31,0.0302478123976575,-6.447156242903695e-05,0.030312283960086537,,
2017-09-01,0.0401029094809128,0.0006508393403876277,0.039452070140525174,,
2017-09-02,-0.0640308914129346,0.0008628905393569338,-0.06489378195229153,,
2017-09-03,0.0009150801172317,-0.0013777466807766087,0.0022928267980083087,,
2017-09-04,-0.075638867740149,1.9689692995683743e-05,-0.07565855743314467,,
2017-09-05,0.033099495698633,-0.0016275144179179724,0.03472701011655097,,
2017-09-06,0.0504030231393419,0.0007121987423239158,0.04969082439701798,,
2017-09-07,0.0006003248892021,0.0010845171182062771,-0.0004841922290041771,,
2017-09-08,-0.0806825161237863,1.2917134296192238e-05,-0.08069543325808248,,
2017-09-09,-0.0006361079293526,-0.0017360381268063498,0.0010999301974537498,,
